Time
14.2
12.6
909.2
314.0
1202.8
29.6
303.4
12.6
8.6
306.8
312.8
13.4
14.2
312.2
13.0
602.4
12.2
313.6
12.2
14.0
12.0
11.6
12.0
12.2
13.4
14.4
12.6
16.6
12.4
9.8
11.0
16.0
14.0
12.4
13.8
13.8
11.0
9.8
12.6
11.8
12.8
14.6
15.0
12.2
13.0
12.8
15.4
14.0
11.0
24.4
13.0
