Reward
19.0
6807.0
7740.0
7658.4
7831.6
7823.2
7779.6
7743.0
19.0
7796.4
7810.8
19.0
7792.8
7832.8
7795.8
7751.0
7774.4
7823.0
7800.0
7822.2
7776.2
7798.2
7832.4
7799.8
7814.4
7795.6
7798.6
7501.4
7846.4
7806.6
7834.2
7828.8
7827.2
7823.4
7819.8
7820.8
7769.6
7795.4
7806.2
7725.4
7800.6
7717.4
7713.8
7837.8
7818.6
7836.4
7842.8
7844.0
7811.8
7805.4
7813.0
