Reward
8.0
4.0
184.2
396.2
967.0
591.4
872.6
695.2
793.4
793.0
996.6
993.6
398.2
994.2
992.0
995.4
996.0
994.2
994.8
995.4
993.0
994.8
997.0
997.0
997.2
993.2
996.0
994.8
995.8
991.8
997.6
994.8
992.0
994.2
994.6
995.4
995.0
998.2
997.2
996.4
995.2
997.0
997.2
995.8
991.2
990.8
991.6
990.4
994.8
993.6
994.0
