Time
1487.0
1488.0
1823.6
1976.0
1500.6
1605.2
1490.8
1489.0
463.0
434.6
519.4
1558.8
657.6
433.2
271.4
484.6
510.2
664.6
353.0
1587.0
280.0
407.8
421.2
374.0
559.4
423.0
521.8
419.4
426.8
561.4
324.0
330.4
422.0
316.6
286.6
490.6
250.8
248.2
246.8
235.0
257.2
287.0
190.6
216.6
236.0
319.4
321.0
282.4
280.8
255.0
354.0
