Time
1503.0
1498.2
1227.8
949.0
41.0
611.4
135.4
312.8
313.6
310.6
11.4
14.4
911.4
13.8
16.0
12.6
12.0
13.8
13.2
12.6
15.0
13.2
11.0
11.0
10.8
14.8
12.0
13.2
12.2
16.2
10.4
13.2
16.0
13.8
13.4
12.6
13.0
9.8
10.8
11.6
12.8
11.0
10.8
12.2
16.8
17.2
16.4
17.6
13.2
14.4
14.0
