Reward
297.2
598.9
838.2
658.5
656.8
792.7
654.6
780.0
741.3
578.3
719.7
795.2
750.4
729.1
726.7
612.7
750.4
750.5
745.8
756.3
775.5
757.9
810.6
801.8
621.0
770.1
710.8
763.7
651.6
539.2
852.6
778.1
669.3
693.7
708.6
747.1
765.3
661.2
884.0
702.2
660.9
705.4
849.8
739.3
766.6
728.7
674.1
787.3
715.1
824.9
503.0
