Reward
75.6
93.8
80.1
79.3
95.7
85.4
93.1
81.0
80.6
89.6
78.8
95.3
94.9
99.4
104.8
98.2
87.1
95.4
94.9
98.4
102.3
103.4
94.5
91.0
109.0
91.6
86.9
96.1
95.7
107.0
102.6
77.5
91.6
98.2
101.7
102.0
83.0
95.8
89.9
102.7
94.4
93.3
97.2
94.9
95.9
98.8
85.1
99.5
92.2
109.8
74.0
