Time
736.4
568.2
385.1
483.2
383.1
227.7
269.7
262.3
245.8
318.5
177.9
246.6
207.7
200.2
184.1
177.2
158.6
146.9
116.4
130.5
133.3
140.5
99.6
111.8
104.4
103.6
105.4
126.8
124.2
105.1
124.8
113.4
106.6
108.0
123.9
89.4
113.7
96.6
88.1
90.4
91.2
82.3
104.8
90.0
98.5
91.5
79.0
92.2
76.7
76.5
92.3
88.2
82.1
80.8
86.6
91.2
89.0
72.7
84.6
86.2
77.8
86.9
71.6
52.8
80.3
82.2
67.6
64.6
81.9
71.5
70.2
75.3
74.9
67.8
69.3
82.8
83.4
59.0
68.7
74.9
68.9
75.0
78.1
77.0
84.8
61.2
68.4
83.6
75.7
73.4
71.4
80.8
63.5
76.1
69.1
61.1
78.9
83.5
82.4
66.1
53.0
